,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
15,Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,Movie,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,Todd Phillips,"Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",8.4,68.0,59.0,112.0,"$335,451,311",04 Oct 2019,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",951938.0
16,I,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Swedish Movies","English, Sanskrit",Movie,2.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,52.0,51.0,26.0,"$474,544,677",19 May 1999,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,733336.0
17,Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",English,Movie,4.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,David Yates,"Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",8.1,96.0,85.0,46.0,"$381,409,310",15 Jul 2011,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",766594.0
28,The Closet,Comedy,"Korean Movies,Horror Movies,Mysteries",French,Movie,3.8,South Korea,1-2 hour,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",7.0,85.0,72.0,1.0,"$6,678,894",10 Aug 2001,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,16657.0
60,Ordinary People,Drama,"Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,4.2,South Korea,1-2 hour,Robert Redford,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",7.7,89.0,86.0,19.0,"$54,766,923",19 Sep 1980,"During a probe into a missing high school student, her best friend and a new gym teacher stumble upon the sinister truth behind her disappearance.",47265.0
69,Stand by Me,"Adventure, Drama","Korean Movies,Dramas",English,Movie,4.1,South Korea,1-2 hour,Rob Reiner,"Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",8.1,91.0,75.0,5.0,"$52,287,414",22 Aug 1986,"Learning of his imminent departure from life, a grandfather spends his final days preparing parting gifts for his young grandchildren.",364302.0
73,Wonderstruck,"Adventure, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Adventures,Movies Based on Books,Mysteries,Family Features,US Movies","English, Spanish",Movie,3.6,South Korea,1-2 hour,Todd Haynes,"James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith",6.2,68.0,71.0,1.0,"$1,060,377",20 Oct 2017,Two children from different eras each embark on a journey of self-discovery that leads to New York City and a mysterious bond that connects them both.,9533.0
96,The Girl on the Train,"Crime, Drama, Mystery, Thriller","Bollywood Movies,Psychological Thrillers,Crime Movies,Thriller Movies,Movies Based on Books,Mysteries,Indian Movies,Crime Thrillers,Hindi-Language Movies","English, Spanish",Movie,2.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",> 2 hrs,Tate Taylor,"Emily Blunt, Justin Theroux, Rebecca Ferguson, Haley Bennett",6.5,44.0,48.0,4.0,"$75,395,035",07 Oct 2016,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,169614.0
109,Red,"Action, Comedy, Crime, Thriller","Dramas,Crime Movies,Crime Dramas,Indian Movies,Telugu-Language Movies","English, Russian",Movie,3.4,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina",> 2 hrs,Robert Schwentke,"Bruce Willis, Jefferson Brown, Mary-Louise Parker, Heidi von Palleske",7.0,72.0,60.0,4.0,"$90,380,162",15 Oct 2010,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",290548.0
122,Burden,Drama,"Movies Based on Real Life,Dramas,Award-winning Dramas",English,Movie,7.8,Netherlands,1-2 hour,Andrew Heckler,"Garrett Hedlund, Tom Wilkinson, Andrea Riseborough, Forest Whitaker",6.6,97.0,57.0,2.0,"$139,270",09 Jun 2020,A young man who rises to the top of the South Carolina Ku Klux Klan decides to walk away with the help of an unexpected ally. Based on real events.,1814.0
